Name,Address,Website,Email,Complex ID,Location 1
Maples Community Centre - Elwick site,44 Maberley Rd,,,44,"(49.94561330010992, -97.16609089187686)"
St. Norbert Community Centre,3450 Pembina Hwy,http://www.gcwcc.mb.ca/St.NorbertCommunityCentre.htm,facility.mgr@shawcable.com,155,"(49.768369913649465, -97.15448791479368)"
East Elmwood Community Centre,927 Beach Ave,http://www.gcwcc.mb.ca/EastElmwoodCommunityCentre.htm,eecc@mts.net,121,"(49.90373723020184, -97.08025028999789)"
Northwood Community Centre,1415 Burrows Ave,http://www.northwoodcc.ca/,northwoodcc@mts.net,34,"(49.93063697847711, -97.17922396602425)"
Kirkfield Westwood Community Centre - McBey Site,3160 McBey Ave,http://www.gcwcc.mb.ca/Kirkfield-WestwoodCC-McBeySite.htm,,63,"(49.87730959804706, -97.28691723899392)"
Luxton Community Centre,210 St Cross St,http://www.gcwcc.mb.ca/LuxtonCommunityCentre.htm,luxtoncc@mts.net,85,"(49.924998270955605, -97.11862160751153)"
Heritage Victoria Park Recreation Association,950 Sturgeon Rd,http://www.gcwcc.mb.ca/HeritageVictoriaCommunityCentre.htm,hvcc@mts.net,57,"(49.891376048076594, -97.27871702662404)"
Northwood Community Centre - Frank Whyte Site,1245 Fife St,http://www.gcwcc.mb.ca/NorthwoodCC-FrankWhyteSite.htm,,87,"(49.938803426105295, -97.16704275199365)"
Fort Garry Community Centre,880 Oakenwald Ave,http://www.gcwcc.mb.ca/FortGarryCommunityCentre.htm,fortgarrycommunityclub.president@yahoo.ca,181,"(49.8421330106419, -97.14863794429948)"
Norberry-Glenlee Community Centre - Norberry site,26 Molgat Ave,http://www.gcwcc.mb.ca/Norberry-GlenleeCommunityCentre.htm,ngcc@shaw.ca,18,"(49.84373603727605, -97.11495398746457)"
Valour Community Centre - Clifton site,1315 Strathcona St,http://www.gcwcc.mb.ca/ValourCC-CliftonSite.htm,carrieg@mts.net,52,"(49.901511000840486, -97.19031797565843)"
